brand,url,sku,name,description,price,currency,category,images,scraped_at,terms,section,image_downloads
Mango,https://shop.mango.com/fi/women/jackets-and-suit-jackets-jackets/wool-blend-jacket-with-belt_67050682.html,67050682,chaqueta lana cinturón,"wool mix fabric, straight design, crossover design, v-neck, long sleeve, loops, two welt pockets on the front, ribbon on the waist with tie closure",69.99,EUR,chaquetas y americanas,"['https://st.mngbcn.com/rcs/pics/static/T6/fotos/S6/67050682_56_B3.jpg?ts=1701118983738', 'https://st.mngbcn.com/rcs/pics/static/T6/fotos/S6/67050682_56_B.jpg?ts=1700478183586', 'https://st.mngbcn.com/rcs/pics/static/T6/fotos/S6/67050682_56.jpg?ts=1706256279377', 'https://st.mngbcn.com/rcs/pics/static/T6/fotos/outfit/S6/67050682_56-99999999_01.jpg?ts=1706256279377']",2024-02-21T12:51:19.171380,jackets,H,"['db68f55d-92f1-43e5-b038-f1708dd75daf', '0c1c4181-1806-474d-b736-06b5bb26e6f4', 'f97b3399-5b44-40ef-9a1f-c3a15f9960a6', '010dfefd-7c24-4a71-bf90-722b8f23d2a4']"
Mango,https://shop.mango.com/fi/women/jackets-and-suit-jackets-jackets/knitted-buttoned-jacket_67044062.html,67044062,chaqueta punto botones,"cotton-blend fabric, medium knit, straight design, rounded neck, long sleeve, two patch pockets on the front, front button closure, contrasting trims, office looks",49.99,EUR,chaquetas y americanas,"['https://st.mngbcn.com/rcs/pics/static/T6/fotos/S6/67044062_99_B3.jpg?ts=1703095385978', 'https://st.mngbcn.com/rcs/pics/static/T6/fotos/S6/67044062_99_B.jpg?ts=1703089689048', 'https://st.mngbcn.com/rcs/pics/static/T6/fotos/S6/67044062_99.jpg?ts=1704983594279', 'https://st.mngbcn.com/rcs/pics/static/T6/fotos/outfit/S6/67044062_99-99999999_01.jpg?ts=1704983594279']",2024-02-21T12:51:30.009099,jackets,H,"['3f64f51b-d437-4ae8-89f5-7da1adcb4f4e', 'aee62826-25cf-44b2-8a83-3d9b1544ec95', '8847aec8-0622-4b82-80ee-9c4f9fc60151', '20024d56-6c8e-4036-a07d-d6bd89d4893a']"
Mango,https://shop.mango.com/fi/women/jackets-and-suit-jackets-jackets/tweed-jacket-with-contrast-detail_67074074.html,67074074,chaqueta tweed detalle contraste,"tweed fabric, cotton-blend fabric, straight design, short design, rounded neck, long sleeve, decorative pockets on the front, unclosed, contrast detail",69.99,EUR,chaquetas y americanas,"['https://st.mngbcn.com/rcs/pics/static/T6/fotos/S6/67074074_05_B3.jpg?ts=1707145460608', 'https://st.mngbcn.com/rcs/pics/static/T6/fotos/S6/67074074_05_B.jpg?ts=1707143663571', 'https://st.mngbcn.com/rcs/pics/static/T6/fotos/S6/67074074_05.jpg?ts=1707316395242', 'https://st.mngbcn.com/rcs/pics/static/T6/fotos/outfit/S6/67074074_05-99999999_01.jpg?ts=1707316395242']",2024-02-21T12:51:31.719633,jackets,H,"['76c2fa43-be2b-4d5a-b6a8-04900e32335c', '873f3e4f-1c2e-4da1-8a32-8e4938b3f190', '9c592d0e-2731-4849-9353-62282fcfbfa0', '8507d8d0-ba90-4052-b98a-b3f452c746fa']"
Mango,https://shop.mango.com/fi/women/jackets-and-suit-jackets-jackets/denim-jacket-with-drawstring_57035980.html,57035980,cazadora vaquera cordón ajustable,"denim style cotton fabric, 100% cotton fabric, straight design, oversize design, adjustable design, shirt-style collar, long sleeve with buttoned cuffs, zip and button fastening, adjustable inner drawstring, twin buttoned flap pockets at front, two patch pockets on the front, co-ord",29.99,EUR,chaquetas y americanas,"['https://st.mngbcn.com/rcs/pics/static/T5/fotos/S6/57035980_68_B3.jpg?ts=1689256985005', 'https://st.mngbcn.com/rcs/pics/static/T5/fotos/S6/57035980_68_B.jpg?ts=1697546326442', 'https://st.mngbcn.com/rcs/pics/static/T5/fotos/S6/57035980_68.jpg?ts=1691755398977', 'https://st.mngbcn.com/rcs/pics/static/T5/fotos/outfit/S6/57035980_68-99999999_01.jpg?ts=1691755398977']",2024-02-21T12:51:32.478754,jackets,H,"['512ab173-7474-4d2a-8597-5a73429f3ff6', '0d4905d7-5229-4eee-9f03-3291e4f5b8fd', 'a8d770cf-43f7-4273-966b-3206915519dd', 'd5ce3b36-d7f7-4b77-a285-c97ba1030134']"
Mango,https://shop.mango.com/fi/women/jackets-and-suit-jackets-jackets/denim-padded-jacket_57068270.html,57068270,chaqueta acolchada denim,"denim style cotton fabric, straight design, rounded neck, long sleeve, two front flap pockets, front button closure, decorative seams, inner lining, plus size available",34.99,EUR,chaquetas y americanas,"['https://st.mngbcn.com/rcs/pics/static/T5/fotos/S6/57068270_TM_B3.jpg?ts=1692950566803', 'https://st.mngbcn.com/rcs/pics/static/T5/fotos/S6/57068270_TM_B.jpg?ts=1692948796087', 'https://st.mngbcn.com/rcs/pics/static/T5/fotos/S6/57068270_TM.jpg?ts=1694172776237', 'https://st.mngbcn.com/rcs/pics/static/T5/fotos/outfit/S6/57068270_TM-99999999_01.jpg?ts=1694172776237']",2024-02-21T12:51:33.032029,jackets,H,"['622ffabe-2e0e-4f4a-a98f-61a774704501', '73ddb793-64dd-417a-a513-80adb43c0c65', '1782aebb-4037-4e7d-bf8b-adadf912df08', 'db2b018e-2d2c-471a-bcf7-07506fd8f655']"
Mango,https://shop.mango.com/fi/women/jackets-and-overshirts/pocket-tweed-jacket_67073271.html,67073271,chaqueta tweed bolsillos,"tweed fabric, cotton-blend fabric, straight design, short design, rounded neck, long sleeve, four patch pockets on the front, button fastening on the front section, metallic buttons, decorative buttons, frayed finish, inner lining, plus size available, office looks",69.99,EUR,chaquetas y americanas,"['https://st.mngbcn.com/rcs/pics/static/T6/fotos/S6/67073271_99_B3.jpg?ts=1701088419258', 'https://st.mngbcn.com/rcs/pics/static/T6/fotos/S6/67073271_99_B.jpg?ts=1698926584006', 'https://st.mngbcn.com/rcs/pics/static/T6/fotos/S6/67073271_99.jpg?ts=1701684178811', 'https://st.mngbcn.com/rcs/pics/static/T6/fotos/outfit/S6/67073271_99-99999999_01.jpg?ts=1701675216809']",2024-02-21T12:51:34.119633,jackets,H,"['e3bdedb0-ec85-4921-8e61-c2fc3228bf2f', '140de4d7-deac-4ae3-a492-8e2d51a1360c', 'eedba210-3e2f-4a3b-9a19-d8ea4f7a32ff', '64557e31-d605-4d8e-94d6-1ec057ea5a4c']"
Mango,https://shop.mango.com/fi/women/jackets-and-suit-jackets-jackets/denim-jacket-with-belt_67075141.html,67075141,cazadora vaquera cinturón,"denim style cotton fabric, 100% cotton fabric, straight design, shirt-style collar, long sleeve with buttoned cuffs, front button closure, loops, removable belt, two chest pockets with flaps, two patch pockets on the front, with this cotton garment you support our investment in the mission of better cotton. this fabric is a mass balance that replaces or blends better cotton with conventional cotton, so it may not contain better cotton. partner farmers receive ongoing support and training. this garment has been produced using techniques that reduce the use of water and chemicals based on eim (environmental impact measuring) criteria, specific environmental-impact measuring software for the garment finishing industry.",49.99,EUR,chaquetas y americanas,"['https://st.mngbcn.com/rcs/pics/static/T6/fotos/S6/67075141_TM_B3.jpg?ts=1705482248674', 'https://st.mngbcn.com/rcs/pics/static/T6/fotos/S6/67075141_TM_B.jpg?ts=1707215872210', 'https://st.mngbcn.com/rcs/pics/static/T6/fotos/S6/67075141_TM.jpg?ts=1707206596626', 'https://st.mngbcn.com/rcs/pics/static/T6/fotos/outfit/S6/67075141_TM-99999999_01.jpg?ts=1707206596626']",2024-02-21T12:51:34.528456,jackets,H,"['77e41f46-f97e-474d-9c95-a78ca4cbcc08', 'aa67b543-f005-4316-b81e-ac2d151d5e9b', 'eeee1759-3947-4298-b4ee-80183953bda0', '2558d169-797d-4c89-8f64-a3d85f64f6b6']"
Mango,https://shop.mango.com/fi/women/jackets-and-suit-jackets-jackets/cotton-racing-jacket-with-patches_67074476.html,67074476,chaqueta racing algodón parches,"selection collection, 100% cotton, quilted design, racing style, turtleneck, long sleeve with elastic cuffs, two side pockets, press stud fastening on the collar, front zip and snap button closure, hem with elastic band, decorative seams, decorative patches, a selection of refined garments, made with quality materials to create a feminine and contemporary wardrobe for special occasions.",99.99,EUR,chaquetas y americanas,"['https://st.mngbcn.com/rcs/pics/static/T6/fotos/S6/67074476_05_B3.jpg?ts=1705514598206', 'https://st.mngbcn.com/rcs/pics/static/T6/fotos/S6/67074476_05_B.jpg?ts=1705509254946', 'https://st.mngbcn.com/rcs/pics/static/T6/fotos/S6/67074476_05.jpg?ts=1706256279377', 'https://st.mngbcn.com/rcs/pics/static/T6/fotos/outfit/S6/67074476_05-99999999_01.jpg?ts=1706256279377']",2024-02-21T12:51:34.988545,jackets,H,"['d3000283-0d90-4f79-af2e-1271faa2fa0e', '588d34b5-9fee-45ce-9223-7be33d26c488', 'f18eec8b-5f22-41ef-94eb-f062641c21bc', 'e95209a8-061c-48a6-a944-42cacf5376c5']"
Mango,https://shop.mango.com/fi/women/jackets-and-suit-jackets-jackets/jacket-with-zip-pockets_67054049.html,67054049,chaqueta bolsillos cremallera,"cloth, oversize design, short design, shirt-style collar, long sleeve, two front flap pockets, front zip closure, inner lining, office looks",49.99,EUR,chaquetas y americanas,"['https://st.mngbcn.com/rcs/pics/static/T6/fotos/S6/67054049_94_B3.jpg?ts=1704877384921', 'https://st.mngbcn.com/rcs/pics/static/T6/fotos/S6/67054049_94_B.jpg?ts=1704873844647', 'https://st.mngbcn.com/rcs/pics/static/T6/fotos/S6/67054049_94.jpg?ts=1705669413310', 'https://st.mngbcn.com/rcs/pics/static/T6/fotos/outfit/S6/67054049_94-99999999_01.jpg?ts=1705669413310']",2024-02-21T12:51:35.475373,jackets,H,"['993fc456-6816-4063-b6f9-73534471c66c', '11bb024c-e019-4881-aad6-98afce0be32f', '82960637-0d9c-4b01-8c8a-7773977be48c', 'f63d71aa-1bb8-4898-ade7-dc402c197770']"
Mango,https://shop.mango.com/fi/women/jackets-and-suit-jackets-jackets/tweed-jacket-with-hook-and-eye-fastenings_67075757.html,67075757,chaqueta tweed corchetes,"cotton-blend fabric, tweed fabric, straight design, short design, rounded neck, long sleeve, two front welt pockets, hook-and-eye fastening at the front",79.99,EUR,chaquetas y americanas,"['https://st.mngbcn.com/rcs/pics/static/T6/fotos/S6/67075757_05_B3.jpg?ts=1707238995983', 'https://st.mngbcn.com/rcs/pics/static/T6/fotos/S6/67075757_05_B.jpg?ts=1707235397055', 'https://st.mngbcn.com/rcs/pics/static/T6/fotos/S6/67075757_05.jpg?ts=1707316395242', 'https://st.mngbcn.com/rcs/pics/static/T6/fotos/outfit/S6/67075757_05-99999999_01.jpg?ts=1707316395242']",2024-02-21T12:51:37.754420,jackets,H,"['880dfbce-11e7-4c88-b9b8-653e63fe7ab8', 'ca44f31f-ac04-43dd-820b-58b7570b7a7d', '573b4337-8295-4b76-a32a-74fc8b500ef3', '1c54b207-44d4-4faa-acde-e9a5472aae46']"
